id,model,unit,config,MCQ accuracy,ARN accuracy,arn low-near,arn low-far,arn high-near,arn high-far
1.0,Qwen3-8B-vllm,event,"{""prompt"": ""prompt_event_mapping_{dataset}_zs""}",0.35,0.52,0.54,0.49,0.5,0.55
2.0,Qwen3-8B-vllm,event,"{""prompt"": ""prompt_event_mapping_{dataset}_cot""}",0.43,0.61,0.8,0.51,0.79,0.33
3.0,Llama-3.1-8B-vllm,event,"{""prompt"": ""prompt_event_mapping_{dataset}_zs""}",0.23,0.59,0.73,0.48,0.75,0.39
4.0,Llama-3.1-8B-vllm,event,"{""prompt"": ""prompt_event_mapping_{dataset}_cot""}",0.26,0.56,0.71,0.49,0.72,0.3
5.0,Qwen3-8B-vllm,event,"{""prompt"": ""prompt_message_mapping_{dataset}_zs""}",0.39,0.63,0.81,0.5,0.78,0.41
6.0,Qwen3-8B-vllm,event,"{""prompt"": ""prompt_message_mapping_{dataset}_cot""}",0.39,0.67,0.87,0.54,0.84,0.44
7.0,Llama-3.1-8B-vllm,event,"{""prompt"": ""prompt_message_mapping_{dataset}_zs""}",0.23,0.6,0.71,0.54,0.65,0.5
8.0,Llama-3.1-8B-vllm,event,"{""prompt"": ""prompt_message_mapping_{dataset}_cot""}",0.29,0.65,0.81,0.58,0.78,0.4
9.0,Qwen3-8B-vllm,story,"{""prompt"": ""prompt_message_mapping_{dataset}_zs""}",0.47,0.66,0.88,0.55,0.84,0.37
10.0,Qwen3-8B-vllm,story,"{""prompt"": ""prompt_message_mapping_{dataset}_cot""}",0.43,0.7,0.89,0.63,0.82,0.43
11.0,Llama-3.1-8B-vllm,story,"{""prompt"": ""prompt_message_mapping_{dataset}_zs""}",0.23,0.6,0.76,0.51,0.67,0.46
12.0,Llama-3.1-8B-vllm,story,"{""prompt"": ""prompt_message_mapping_{dataset}_cot""}",0.38,0.68,0.86,0.6,0.76,0.46
13.0,Qwen3-8B-vllm,sentence,"{""prompt"": ""prompt_message_mapping_{dataset}_zs""}",0.46,0.66,0.87,0.54,0.84,0.36
14.0,Qwen3-8B-vllm,sentence,"{""prompt"": ""prompt_message_mapping_{dataset}_cot""}",0.48,0.71,0.9,0.65,0.81,0.44
15.0,Llama-3.1-8B-vllm,sentence,"{""prompt"": ""prompt_message_mapping_{dataset}_zs""}",0.23,0.59,0.73,0.49,0.66,0.49
16.0,Llama-3.1-8B-vllm,sentence,"{""prompt"": ""prompt_message_mapping_{dataset}_cot""}",0.35,0.66,0.83,0.57,0.79,0.43
