id,proverb,query_narrative,first_choice,second_choice,distractor_similarity,analogy_level,correct_answer
1,April showers bring forth May flowers,"Johnny was having a very hard time at work. He had too many projects and too many short deadlines, and he was stressed. He kept working as hard as he could to finish everything, and it paid off. His boss noticed how hard he was working and offered him a raise, as well as his choice in future projects.","She had been devastated when the relationship ended and spent many empty days lying in bed, crying her eyes out and feeling that there was no point in going on. She hadn't even wanted to go to the party a couple of weeks later but a friend persuaded her. Whilst there, she locked eyes with a great looking guy and in no time they were chatting like old friends and exchanging numbers. Tomorrow is their second anniversary.","The man had been in the job for ten years and had never had a payrise, despite his diligent hard work. One day he plucked up the courage to ask his boss for a rage and was curtly refused. That was it! He decided. No more working his hardest. He was going to slack as much as he could and not take any further pride in his work.",high,far,1
2,Count your blessings,"There once was a Wi-Fi firmware engineer who became too sick to work anymore.  Out of desperation, he became a crowdsourced micro worker even though he knew he will earn fifty to one hundred times less than his old job.  Six months later,  he was overjoyed when he finally earned twenty dollars in a day for the first time.  This meant he could finally feed his family from his earnings instead of burning up his dwindling savings.","In his pursuit to provide for his family financially, a dedicated wireless firmware engineer embarked on a new path by joining the freelance gig economy. With clear goals in mind, he embraced the challenges that came along and focused on delivering impeccable work. With each successfully accomplished project, his determination grew stronger, and he counted his blessings as his income steadily increased, ensuring a stable future for his loved ones.",The crowdsourced micro worker struggled to feed his family with his four-figure annual income.  Not so long ago he had been working a real job and earning a six-figure income.  His family could afford things like fast food and taekwondo lessons for his daughter.  But not now.  Who knows if it will get better or worse.  That's the way it is.,high,near,1
3,A golden key can open any door,"Born into wealth, Michael rarely had to work for much of anything at all. His parents enrolled him in the best pre-school and paid for tutors his entire life. He didn't actually take much advantage, sleeping through sessions and never going to college. When his parents died, he inherited their substantial fortune. Everything he wanted was his. Including entry into the most elite clubs and social groups, entirely because of his money and nothing more.","In their quest to garner access to exclusive circles, his folks enrolled him in the most prestigious Kindergarten in town. Surrounded by children from affluent families, his parents believed it would open doors to new opportunities and influential connections. Little did they know that their kin, armed with his charm and natural intelligence, would quickly become the center of attention in these circles, surpassing their wildest dreams.",Nick was born without limbs. His parents were devastated after discovering this but they raised him well. His parents received skeptical comments about Nick but they chose to ignore them. They took great care of Nick and helped him graduate from a reputed university. He now delivers lectures all over the world and inspires people to learn and grow.,high,near,1
4,Charity begins at home,The pastor was shocked that his children turned into unbelievers and hedonists. It was clear that all those hours in church trying to preach all people from different backgrounds and various beliefs could have been better spent raising his own children at home that needed their father.,"Charles went to church with his parents every Sunday. He felt comfortable there. However, more and more he noticed that the people at church weren't wearing their masks to protect themselves and others from Covid-19. In school, he was learning that Covid was a threat. He began to ponder if his parents beliefs were really the correct way to live. He decided he wanted to be a scientist when he grew up.","In a small town, a devoted father with a strong religious faith gathered his children every week and took them to the local house of worship. They would spend hours praying, hymn singing, and reflecting on their spiritual beliefs and companionship values as well as helping others. Through these experiences, the father instilled in his offspring the importance of their faith and the values it embodied, ensuring that their devotion and commitment to helping others would always start within the walls of their own home.",high,near,2
5,It's no use crying over spilt milk,I had to give a presentation in school today.  I was not as prepared as I should have been.  My hands were shaking and I know that I was talking too fast.  I was upset all day by my horrible performance.  I need to just stop thinking about it because it is too late to do anything about it now.,My neighbor asked me to be her partner again on a project for school.  Last time I was her partner she made me do all of the work while she texted her boyfriend the entire time.  Being her partner again would be a bad idea.,"Once upon a time, in a small rural village, there lived a talker named Lily who always had something to say about everything. One day, as she was hosting a gathering, a clumsy server accidentally disconnected the cable from the presentation computer. The room fell silent, awaiting Lily's usual dramatic response. Instead of talking about the servent's fault, she continued with a joke and kept up the good presentation although she was doing it without the computer only using the loud voice she had developed over the years being a good presenter in differen venues. ",low,near,2
6,All publicity is good publicity,"XRP is being sued by the SEC. No matter the outcome, the exposure for XRP is priceless","In the world of cryptocurrencies, XRP gained unexpected exposure after a controversial tweet from a renowned investor went viral. News outlets picked up the story, sparking debates and discussions on various platforms, giving XRP an unprecedented level of attention. Despite the initial negative backlash, this exposure ultimately led to increased interest, investment, and ultimately, success for XRP in the long run.","Bill and Joe were career criminals. They stole money from many places. Neither one had any remorse when they stole anything. They just felt that if they wanted it badly enough, it was okay. One day they joined forces, and robbed a bank together. Even though neither one had any morals, when the police arrested Bill, he refused to incriminate Joe, and protected him.",low,near,1
7,That which does not kill us makes us stronger,"He really hated school. The bullying was relentless, but he had a strong fortitude and a promise to make his single mother proud. So he bravely marched on to school. In a matter of years, he found himself graduating at the top of his class with an M.B.A. His former classmates went to their jobs cleaning up after school children.","When I remember the challenges I went through when I was starting my business, I break into tears. But I do not regret a thing. I think that the most precious gold goes through the hottest furnace. There are great and unforgettable lessons that I learned during that period that I will always cherish. It made me better.","She spent hours every day studying and doing classwork. It was hard to remain focused on school when there were so many distractions begging for her attention. However, she powered through and come summer vacation she had passed with flying colors and had plenty of time to relax and have fun.",high,far,1
8,It's no use crying over spilt milk,I had to give a presentation in school today.  I was not as prepared as I should have been.  My hands were shaking and I know that I was talking too fast.  I was upset all day by my horrible performance.  I need to just stop thinking about it because it is too late to do anything about it now.,"Once upon a time, in a small rural village, there lived a talker named Lily who always had something to say about everything. One day, as she was hosting a gathering, a clumsy server accidentally disconnected the cable from the presentation computer. The room fell silent, awaiting Lily's usual dramatic response. Instead of talking about the servent's fault, she continued with a joke and kept up the good presentation although she was doing it without the computer only using the loud voice she had developed over the years being a good presenter in differen venues. ","my whole youth I smoked a lot of pot. less and less as I got older. More and more pessimistic I became at the world. I found smoking once a week on Friday night not only gave me something to look forward to, but brought me peace.",low,near,1
9,There's no fool like an old fool,"The crowdsourced micro worker's mother had decided not to get vaccinated with the two-dose mRNA COVID vaccines even though she had good medical knowledge.  Being really old and not being so updated with knowledge about misinformation, she had been misled from a flood of well-produced, well-written Youtube videos criticizing western mRNA vaccines. She was listening to anything she used to hear from any random sources.","Harry moved into an assisted living facility.  He met Anna, who also lived in the facility.  They fell madly in love and could be seen walking the halls with their walkers holding hands and loving each other's company. This was odd for all the staff and also for their relatives and children but they couldn't do anything about it since they were just old and they could do anything they wanted to. ","The woman was outraged when her brother said he wasn't sure he was going to take the vaccine. How could you be so dumb to even consider not taking it!, she yelled at him. As time went on, he became even more firm in his opposition. But to prevent the discussion to turn into something without any outcomes and lead by anger, she tried to send him some research papers and ask him to read those instead and act calmly. ",high,far,1
10,A person is known by the company he keeps,"My mother always told me that she wanted to see ALL my friends, so I always brought them home. These were mostly school friends. When my mother smiled, I knew that she approved. She still does the same thing today and always knows who I spend my time with, to be sure nobody has bad effects on my behaviour.","Kelly and Kim were working on a project for school. They hated the class, and they didn't care about the project. But they noticed that as they were working on the project, they were having a lot of fun together. They were enjoying each other's company, and becoming good friends. They laughed, and joked, and had a good time. When the project was over, they still hated the class, and they still didn't care about the project. But they sure had fun doing it together.","Timmy had a nice home and family.  A coworker of his seduced him and blackmailed him afterwards.  Timmy tried to hide his wrongdoing from his wife, but the fact that his co-worker was the reason behind the unfortunate events and he was also a good friend of his, made everybody else also cautious about their interaction with Timmy, no matter what the interaction was actually about. ",high,far,2
11,Don't look a gift horse in the mouth,"Maria went abroad and she brings something to her friend Jucy a perfume as gift when she's back to her hometown and Jucy still not happy of the gift that Maria gives to her, she wants more than a perfume. Jucy should be content of what Maria gives to her at least Maria is thinking of her. ","Once upon a time, two lifelong buddies stumbled upon a mysterious box in the middle of the forest. Curiosity piqued, they cautiously opened it and to their astonishment, found a rare and valuable treasure inside. Despite their better judgment, one of the buddies couldn't resist inspecting the gift closely, only to discover a small flaw that cast a shadow over their newfound joy. In the end, they both realized that their unexpected fortune should be cherished without questioning its imperfections.","Although the friend really was innocent, he got arrested alongside his friends for being at the wrong place at the wrong time, but mostly because of his friends being the usual suspects.",low,near,1
12,"Like father, like son",His father was a gambling addict. He swore never to be like his dad. One day he went to a casino and just could not stop. He was instantly hooked and did not stop until he had lost his entire life's savings playing games at the casino.,"Joshua enrolled in English as a major for his freshman year at his state college.  His mother was a school teacher.  Though he always joked that his grammar was impeccable because of his mother's profession, he was surprised that it would also be his chosen field.  I laughed when Joshua told me of his discovery, because I've heard the same narrative at least a half dozen times.  Children with mother's who teach often chosen a related profession.  And of course, they all mention the tid bit about the grammar.","The accountant sat at his desk, most days he counseled people how how to spend their money, save it and make the most of every penny. He grew frustrated with his clients that would not listen to him. At the end of the day he stopped at the casino, thinking of trying to earn back the money he had lost the night before. Not many people knew that the accountant had only pennies to his name because of his own poor spending traits.",high,far,1
